City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
52,East London,-33.02,27.91,71.6,78,0,11.41,ZA,2020-03-01 18:16:41,clear sky,0.0,0.0
53,Qaqortoq,60.72,-46.03,8.6,46,0,2.24,GL,2020-03-01 18:16:41,clear sky,0.0,0.0
54,Tezu,27.92,96.17,62.71,42,7,4.81,IN,2020-03-01 18:16:42,clear sky,0.0,0.0
55,Punta Arenas,-53.15,-70.92,64.4,45,40,14.99,CL,2020-03-01 18:16:42,scattered clouds,0.0,0.0
56,Roald,62.58,6.13,37.0,69,99,20.8,NO,2020-03-01 18:12:47,light snow,0.0,0.13
57,Podosinovets,60.28,47.07,26.51,90,68,9.69,RU,2020-03-01 18:16:42,broken clouds,0.0,0.0
58,Lakes Entrance,-37.88,147.98,64.99,77,62,11.36,AU,2020-03-01 18:16:42,broken clouds,0.0,0.0
59,Caravelas,-17.71,-39.25,82.24,69,63,8.84,BR,2020-03-01 18:16:43,broken clouds,0.0,0.0
60,Souillac,-20.52,57.52,80.6,88,40,4.47,MU,2020-03-01 18:16:43,scattered clouds,0.0,0.0
61,Jalu,29.03,21.55,65.41,30,0,7.92,LY,2020-03-01 18:16:43,clear sky,0.0,0.0
62,Ciudad Bolivar,8.12,-63.55,95.32,32,68,9.08,VE,2020-03-01 18:16:43,broken clouds,0.0,0.0
63,Cabedelo,-6.98,-34.83,84.2,74,75,13.87,BR,2020-03-01 18:16:43,broken clouds,0.0,0.0
64,Lewistown,40.6,-77.57,44.01,32,1,11.41,US,2020-03-01 18:16:44,clear sky,0.0,0.0
65,Tondano,1.3,124.91,77.0,100,40,2.24,ID,2020-03-01 18:16:44,scattered clouds,0.0,0.0
66,Lompoc,34.64,-120.46,57.2,54,40,13.87,US,2020-03-01 18:16:44,scattered clouds,0.0,0.0
