City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
505,San Julian,MX,78.75,clear sky,21.02,-102.17,La Nueva España
507,Hobyo,SO,76.77,clear sky,5.35,48.53,
508,Tshikapa,CD,77.04,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
510,Lere,NG,85.32,broken clouds,10.39,8.57,
511,Bria,CF,83.01,broken clouds,6.54,21.99,
514,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
518,Taoudenni,ML,84.54,clear sky,22.68,-3.98,
523,Rundu,,80.6,overcast clouds,-17.93,19.77,Millennia Estate
528,Puerto Santander,CO,84.2,scattered clouds,8.36,-72.41,
532,Jibuti,DJ,78.8,clear sky,11.5,42.5,Campement touristique DANKALELO
533,Rodrigues Alves,BR,78.8,light rain,-7.74,-72.65,Hotel José Pereira
534,Tautira,PF,78.01,heavy intensity rain,-17.73,-149.15,Pension Oaoa
541,Antofagasta,CL,72.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
542,Bubaque,GW,81.48,scattered clouds,11.28,-15.83,Casa Dora
547,Srandakan,ID,75.4,overcast clouds,-7.94,110.25,Puri Brata
548,Banda Aceh,ID,74.16,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
553,Tutoia,BR,87.8,scattered clouds,-2.76,-42.27,Pousada Guará's
557,Grand Gaube,MU,80.6,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
559,San Isidro,PE,80.6,broken clouds,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
560,Madimba,TZ,82.4,scattered clouds,-10.4,40.33,
564,Vila Velha,BR,87.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
566,San Felipe,VE,86.41,broken clouds,10.34,-68.74,Posada Llovizna Rodríguez
570,Broken Hill,AU,71.6,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
573,Victoria,HK,73.0,few clouds,22.29,114.16,Mini Hotel Central
581,Chicama,PE,75.2,overcast clouds,-7.84,-79.15,Tiki Surf House
583,Soyo,AO,84.2,overcast clouds,-6.13,12.37,Hotel Mpampa
588,Salalah,OM,77.0,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
595,Jieshi,CN,72.0,scattered clouds,22.81,115.83,Yuehai Hotel
